Date,Price,Return,1_Day_Lag_Return
4/4/2022,456.799988,0.008566579,0.002834111
4/1/2022,452.920013,0.002834111,-0.015391316
3/31/2022,451.640015,-0.015391316,-0.006174794
3/30/2022,458.700012,-0.006174794,0.012370827
3/29/2022,461.549988,0.012370827,0.00711304
3/28/2022,455.910004,0.00711304,0.004883598
3/25/2022,452.690002,0.004883598,0.015074363
3/24/2022,450.48999,0.015074363,-0.012878418
3/23/2022,443.799988,-0.012878418,0.01170139
3/22/2022,449.589996,0.01170139,-0.000292392
3/21/2022,444.390015,-0.000292392,0.010952775
3/18/2022,444.519989,0.010952775,0.012510938
3/17/2022,439.70401,0.012510938,0.022174206
3/16/2022,434.270874,0.022174206,0.021990411
3/15/2022,424.850159,0.021990411,-0.007308291
3/14/2022,415.708557,-0.007308291,-0.01271506
3/11/2022,418.769043,-0.01271506,-0.004515545
3/10/2022,424.162292,-0.004515545,0.026810788
3/9/2022,426.086304,0.026810788,-0.007581681
3/8/2022,414.960876,-0.007581681,-0.029479179
3/7/2022,418.131012,-0.029479179,-0.008124639
3/4/2022,430.831573,-0.008124639,-0.004978489
3/3/2022,434.360596,-0.004978489,0.018396195
3/2/2022,436.533875,0.018396195,-0.015230263
3/1/2022,428.648376,-0.015230263,-0.002558503
2/28/2022,435.277771,-0.002558503,0.022064004
2/25/2022,436.394287,0.022064004,0.015049148
2/24/2022,426.973541,0.015049148,-0.017738678
2/23/2022,420.643219,-0.017738678,-0.010731642
2/22/2022,428.239624,-0.010731642,-0.006475066
2/18/2022,432.885193,-0.006475066,-0.021361425
2/17/2022,435.706421,-0.021361425,0.001120806
2/16/2022,445.216888,0.001120806,0.016126903
2/15/2022,444.718445,0.016126903,-0.003269325
2/14/2022,437.660339,-0.003269325,-0.019718731
2/11/2022,439.095886,-0.019718731,-0.017965656
2/10/2022,447.928467,-0.017965656,0.014636091
2/9/2022,456.123016,0.014636091,0.008227892
2/8/2022,449.543457,0.008227892,-0.003209286
2/7/2022,445.874847,-0.003209286,0.004702216
2/4/2022,447.310394,0.004702216,-0.023504971
2/3/2022,445.216888,-0.023504971,0.009714051
2/2/2022,455.933594,0.009714051,0.00675696
2/1/2022,451.547241,0.00675696,0.018011053
1/31/2022,448.516632,0.018011053,0.024835402
1/28/2022,440.581299,0.024835402,-0.004937977
1/27/2022,429.904449,-0.004937977,-0.002508769
1/26/2022,432.037842,-0.002508769,-0.012208971
1/25/2022,433.124451,-0.012208971,0.00424672
1/24/2022,438.477814,0.00424672,-0.019630642
1/21/2022,436.623596,-0.019630642,-0.011068029
1/20/2022,445.366425,-0.011068029,-0.010383559
1/19/2022,450.350922,-0.010383559,-0.017709626
1/18/2022,455.076233,-0.017709626,0.00040904
1/14/2022,463.280762,0.00040904,-0.013778628
1/13/2022,463.091339,-0.013778628,0.002703534
1/12/2022,469.561249,0.002703534,0.009108288
1/11/2022,468.295197,0.009108288,-0.001244357
1/10/2022,464.068329,-0.001244357,-0.003953495
1/7/2022,464.646515,-0.003953495,-0.000939455
1/6/2022,466.490784,-0.000939455,-0.019202116
1/5/2022,466.929443,-0.019202116,-0.000334955
1/4/2022,476.071014,-0.000334955,0.005789967
1/3/2022,476.23053,0.005789967,-0.002520173
12/31/2021,473.489044,-0.002520173,-0.002764526
12/30/2021,474.685333,-0.002764526,0.001279202
12/29/2021,476.001251,0.001279202,-0.000817169
12/28/2021,475.393127,-0.000817169,0.014152144
12/27/2021,475.781921,0.014152144,0.006222034
12/23/2021,469.142548,0.006222034,0.009998704
12/22/2021,466.241577,0.009998704,0.017758992
12/21/2021,461.625916,0.017758992,-0.010633356
12/20/2021,453.570953,-0.010633356,-0.010642947
12/17/2021,458.44577,-0.010642947,-0.0088185
12/16/2021,463.377472,-0.0088185,0.015625027
12/15/2021,467.500122,0.015625027,-0.00687997
12/14/2021,460.3078,-0.00687997,-0.008858428
12/13/2021,463.496643,-0.008858428,0.009413468
12/10/2021,467.639191,0.009413468,-0.006751491
12/9/2021,463.278137,-0.006751491,0.002647945
12/8/2021,466.427216,0.002647945,0.020684848
12/7/2021,465.195404,0.020684848,0.011843319
12/6/2021,455.767914,0.011843319,-0.008701315
12/3/2021,450.433289,-0.008701315,0.015316324
12/2/2021,454.387054,0.015316324,-0.011107283
12/1/2021,447.532501,-0.011107283,-0.019457566
11/30/2021,452.559204,-0.019457566,0.012266553
11/29/2021,461.539642,0.012266553,-0.022303101
11/26/2021,455.946747,-0.022303101,0.002669843
11/24/2021,466.347748,0.002669843,0.001325983
11/23/2021,465.105988,0.001325983,-0.00281517
11/22/2021,464.490082,-0.00281517,-0.001788272
11/19/2021,465.801392,-0.001788272,0.003396425
11/18/2021,466.635864,0.003396425,-0.002429224
11/17/2021,465.056335,-0.002429224,0.003957845
11/16/2021,466.188812,0.003957845,0.000342457
11/15/2021,464.350983,0.000342457,0.007546809
11/12/2021,464.192017,0.007546809,0.000323487
11/11/2021,460.715088,0.000323487,-0.00804484
11/10/2021,460.566101,-0.00804484,-0.003305406
11/9/2021,464.301331,-0.003305406,0.000853807
11/8/2021,465.841125,0.000853807,0.003469522
11/5/2021,465.443726,0.003469522,0.004712566
11/4/2021,463.834442,0.004712566,0.006105212
11/3/2021,461.658844,0.006105212,0.004043127
11/2/2021,458.857422,0.004043127,0.001720182
11/1/2021,457.009674,0.001720182,0.002029117
10/29/2021,456.224884,0.002029117,0.009648889
10/28/2021,455.301025,0.009648889,-0.004430189
10/27/2021,450.94986,-0.004430189,0.000899986
10/26/2021,452.956543,0.000899986,0.005362835
10/25/2021,452.549255,0.005362835,-0.001036211
10/22/2021,450.135254,-0.001036211,0.002608284
10/21/2021,450.602173,0.002608284,0.003927727
10/20/2021,449.429932,0.003927727,0.007714845
10/19/2021,447.6716,0.007714845,0.002960515
10/18/2021,444.244324,0.002960515,0.007615836
10/15/2021,442.933014,0.007615836,0.016820642
10/14/2021,439.585205,0.016820642,0.003597597
10/13/2021,432.313416,0.003597597,-0.002461539
10/12/2021,430.763702,-0.002461539,-0.007239734
10/11/2021,431.82666,-0.007239734,-0.001823756
10/8/2021,434.975769,-0.001823756,0.00864573
10/7/2021,435.770508,0.00864573,0.004156023
10/6/2021,432.035248,0.004156023,0.010404958
10/5/2021,430.247131,0.010404958,-0.01289602
10/4/2021,425.816528,-0.01289602,0.011884163
