Date,Open,High,Low,Close,Adj Close,Volume
10/30/2020,328.279999,329.690002,322.600006,326.540009,322.004059,120287300
11/2/2020,330.200012,332.359985,327.23999,330.200012,325.613251,86068300
11/3/2020,333.690002,338.25,330.290009,336.029999,331.362274,93294200
11/4/2020,340.859985,347.940002,339.589996,343.540009,338.767914,126959700
11/5/2020,349.23999,352.190002,348.859985,350.23999,345.374817,82039700
11/6/2020,349.929993,351.51001,347.649994,350.160004,345.295959,74973000
11/9/2020,363.970001,364.380005,354.059998,354.559998,349.634827,172304200
11/10/2020,353.48999,355.179993,350.51001,354.040009,349.12207,85552000
11/11/2020,356.399994,357.559998,355.059998,356.670013,351.715576,58649000
11/12/2020,355.579987,356.720001,351.26001,353.209991,348.303589,67546200
11/13/2020,355.269989,358.899994,354.709991,358.100006,353.125702,62892200
11/16/2020,360.980011,362.779999,359.589996,362.570007,357.533569,74541100
11/17/2020,359.970001,361.920013,358.339996,360.619995,355.610657,66111000
11/18/2020,360.910004,361.5,356.23999,356.279999,351.330963,70591300
11/19/2020,355.600006,358.179993,354.149994,357.779999,352.81012,59940900
11/20/2020,357.5,357.720001,355.25,355.329987,350.394135,70417300
11/23/2020,357.279999,358.820007,354.869995,357.459991,352.494537,63230600
11/24/2020,360.209991,363.809998,359.290009,363.220001,358.174591,62415900
11/25/2020,363.130005,363.160004,361.480011,362.660004,357.622345,45330900
11/27/2020,363.839996,364.179993,362.579987,363.670013,358.618347,28514100
11/30/2020,362.829987,363.119995,359.170013,362.059998,357.03067,83872700
12/1/2020,365.570007,367.679993,364.929993,366.019989,360.935638,74231400
12/2/2020,364.820007,366.959991,364.200012,366.790009,361.694946,45927000
12/3/2020,366.679993,368.190002,365.5,366.690002,361.596375,62882000
12/4/2020,367.320007,369.850006,367.220001,369.850006,364.712433,50749900
12/7/2020,369.019989,369.619995,367.720001,369.089996,363.962982,48944300
12/8/2020,367.720001,370.779999,367.670013,370.170013,365.028015,42458900
12/9/2020,370.880005,371.049988,365.950012,366.850006,361.75415,74098300
12/10/2020,365.369995,367.859985,364.429993,366.730011,361.635834,57735400
12/11/2020,364.899994,366.73999,363.26001,366.299988,361.211731,57698600
12/14/2020,368.640015,369.799988,364.470001,364.660004,359.594543,69216200
12/15/2020,367.399994,369.589996,365.920013,369.589996,364.456055,63865300
12/16/2020,369.820007,371.160004,368.869995,370.170013,365.028015,58420500
12/17/2020,371.940002,372.459991,371.049988,372.23999,367.069244,64119500
12/18/2020,370.970001,371.149994,367.019989,369.179993,365.603577,136542300
12/21/2020,364.970001,378.459991,362.029999,367.859985,364.296387,96386700
12/22/2020,368.209991,368.329987,366.029999,367.23999,363.682373,47949000
12/23/2020,368.279999,369.619995,367.220001,367.570007,364.009186,46201400
12/24/2020,368.079987,369.029999,367.450012,369,365.425323,26457900
12/28/2020,371.73999,372.589996,371.070007,372.170013,368.564636,39000400
12/29/2020,373.809998,374,370.829987,371.459991,367.861481,53680500
12/30/2020,372.339996,373.100006,371.570007,371.98999,368.386383,49455300
12/31/2020,371.779999,374.660004,371.230011,373.880005,370.258087,78520700
